name_variable,IncNodePurity
swt,1.99069948367632
v,8.17173004922155
lh,0.243014026700718
sh,0.379452318832149
strat,0.953776769345561
t,1.35040908137387
rh,0.165928069815985
sp,0.467580682735417
cc,0.148680937283005
ws,0.153876256131667
sr,3.01448248680656
st7,1.70374969030739
st28,1.59623819021868
st100,1.99532297205945
st255,5.28463735872996
sm7,0.727816081701819
sm28,1.90227861087143
sm100,8.84963698875317
sm255,32.3723797212383
tp,0.142739257501638
pev,2.37469154702194
q_gwlf,2.41978418763108
doc_gwlf,11.8575391466114
cyday,11.6256442782777
random,0.107911807153219
